0	1	2	answer
怎么去启明学院	启明学院地点在哪	0	湖北省武汉市洪山区珞喻路1037号
启明学院地址是什么	启明学院地点在哪	0	学院现任领导院长：梁亮胜、陈刚、黄刚
启明学院地点在哪	启明学院地点在哪	0	"启明学院秉承""明德，厚学，求是，创新""的校训，遵循""育人为本、创新是魂、责任以行""的办学理念，把创新精神和实践能力作为培养拔尖创新人才的核心，致力于培养具有创新能力、创业精神和国际视野的未来杰出人才。
启明学院基本办学思路为""开放办学，创新机制，学科交叉，拔尖示范""。将以""开放式""办学的思路统领基本工作，以先进的教育理念为指导，建立有效的教育管理（包括选拔、评价、激励、约束等）机制，创立新的运行机制和多样化拔尖创新人才培养模式。围绕拔尖创新人才的培养目标，构建多学科交叉平台，加强学科间的交叉渗透和跨学科的合作与研究，为培养创新、创业型人才提供学科支撑。面向本科生，突出学生创新能力、创业精神和领导能力的培养，特别是实学创新人才的培养，以此推动面上的创新教育，为我国高等教育改革提供示范。
具体详细介绍见学校官网"
启明学院有院长吗	启明学院院长是谁	1	"深圳市德迅投资有限公司出资在华中科技大学启明学院设立“德迅奖学金”
创新实验班学生、学习特优生学年加权平均成绩在本班（本专业）前20%，创新团队学生加权平均成绩在本专业前30%（参加启德创新创业孵化项目的学生除外），评选当年无课程不及格情况的同学均可参与评选。具体详情见学校官网。"
陈刚是启明学院的院长吗	启明学院院长是谁	1	借用单位借用前，可登陆启明学院网站“开放平台-教室资源”栏查询报告厅、会议室、教室使用状态，确定可使用时间；下载填写《启明学院报告厅、会议室、教室借用申请表》（见附件）；经单位主管领导同意，在“申请单位意见”一栏签字盖章后，将该表交到启明学院亮胜楼202综合办公室。
启明学院院长是谁	启明学院院长是谁	1	1.美国斯坦福大学暑期/冬季双创课程学习；2.美国加州大学伯克利分校暑期/冬季双创课程学习；3.美国哈佛大学暑期双创课程学习；4.英国曼彻斯特大学暑期课程学习；5.密苏里科技大学EMC实验室暑期实习项目；6.休斯敦大学ECE系暑期实习项目；7.罗斯豪曼科技夏令营；8.台湾大同大学暑期研习营；具体详情见启明学院官网。
启明学院介绍	启明学院是什么	2	为贯彻“育人为本、创新是魂、责任以行”的办学理念，培养具有创新能力、创业精神和国际视野的未来杰出人才。选拔综合素质好、具有较强自主学习能力、实践能力、创新意识和发展潜力的本科生，进行重点培养，为他们脱颖而出营造创新教育的环境，对培养拔尖创新人才具有重要意义。详情见《华中科技大学启明学院学习特优生管理办法》http://qiming.hust.edu.cn/info/1092/2027.htm
启明培养拔尖创新人才的核心是什么	启明学院是什么	2	每周星期二、星期五为启明学院接待日时间（国家法定节假日及寒暑假除外）。接待方式主要为预约接待。如临时有特殊或重要事项来访，可以提前与启明学院电话联系沟通（联系人及联系方式附后）。详情见《启明学院关于实行预约接待制度的通知》http://qiming.hust.edu.cn/info/1114/1226.htm
启明学院是怎样建立的	启明学院是什么	2	1.学生自主：以学生为中心，学生自主学习、自主设计、自主管理，开发学生潜能，引导学生主动实践，主动寻找问题和解决问题。2.学科交叉：创建多学科交叉的育人环境，让不同学科的学生、教师进行团队学习、团队研究、团队合作。3.与业界结合：业界是大学教育生态不可或缺的重要部分，让教师、学生到业界中去，让业界优秀人士走进大学讲坛，共同培养创新人才。4.宏思维培养：拓宽学生的知识面，引导学生关注国家、民族、人类社会的重大问题，增强学生的责任感和整体意识，提高学生对社会重大问题的把握能力。
启明学院是什么	启明学院是什么	2	"创新团队是以本科生为主体的优秀学生研究团队，在启明学院平台上，开展基于问题、基于项目的研究性学习、主动实践等科技创新活动。目前的创新团队共18支，包括Dian团队
、智能机器人及智能系统仿真科技创新基地、电工电子科技创新中心、联创团队、生命科学与技术科技创新基地、大学生调查研究中心、冰岩作坊、医用图像系统研究团队、计算材料科学与测量模拟中心、WEsharp团队、数学建模科技创新基地、外国语3C团队、红树林策划创意团队、物理实验创新基地、记者团、GNG团队、机械创新基地、新能源与节能减排大学生创新活动基地"
启明学院奖学金要求	启明学院有奖学金吗	3	学院为学生研究型学习提供特别课程支持，建设方法类、交叉学科类、通识类、综合类等创新教育理论与实践系列化特别课程，将学生宏思维的培养与专业教育相结合，开拓学生视野，培养学生的宏观思维和创新思维。课程详情见http://qiming.hust.edu.cn/cxjy/tbkc.htm
怎样获得启明学院的奖金	启明学院有奖学金吗	3	启明学院有电工电子实验平台与机械加工实验平台等创客实验平台，详情见http://qiming.hust.edu.cn/kfpt/cksjpt1/dgdzsypt.htm
启明学院有奖学金吗	启明学院有奖学金吗	3	为实践科学发展观，推动创新教育改革，落实启明学院人才培养模式创新实验区改革计划，培养拔尖创新人才。学校定期举办创新教育论坛。详情见http://qiming.hust.edu.cn/cxwh/cxlt.htm
亮胜楼报告厅可以借用吗	怎么申请亮胜楼报告厅	4	"2007年12月18日，为探索创新人才培养新模式，努力培养厚基础、强能力、高素质的拔尖创新人才，学校决定筹建""华中科技大学长江学院""（现名“启明学院”），并成立筹建长江学院工作小组。小组组组长为许晓东，常务副组长为马建辉，副组长为刘玉，组员包括毛柏青、何俊佳、吴波、吴雄文、杨晓非、周艳红、郑军、项光亚、唐和清和黄瑞光等十人。"
亮胜楼报告厅怎么申请	怎么申请亮胜楼报告厅	4	表彰、宣传在启明学院人才培养工作中表现突出、取得突出成果、做出重大贡献的学生典型，为全校学生树立榜样，激励全体学生乐于学习，勤于实践，勇于创新，敢于承担，奋发成才，优化人才培养环境，为培养更多具有创新能力和国际视野的未来杰出人才做出积极贡献。
怎么申请亮胜楼报告厅	怎么申请亮胜楼报告厅	4	主动实践之星、发明创造之星、学科竞赛之星、科学研究之星、学科交叉之星、创新创业之星、社会责任之星、文化交流之星
启明学院有国际交流项目吗	启明学院有哪些国际交流项目	5	评比于每年9-10月进行
启明学院的国际交流工作进行的怎么样	启明学院有哪些国际交流项目	5	申报材料的科学性、创新性、真实性和可行性，以及申请人的资格等内容，除了申报材料的科学性、创新性、真实性还有什么要求
启明学院有哪些国际交流项目	启明学院有哪些国际交流项目	5	启明学院和院（系）
启明学院学习特优生的目标是什么	启明学院学习特优生是什么	6	启明学院直接管理
